id;title;price;image
49;Computador Completo Core i5 8GB SSD 256GB Pc Intel Monitor Teclado e Mouse Cpu Desktop Strong Tech;R$ 1.548,00;https://m.media-amazon.com/images/I/61QkUW+g7xL._AC_UL320_.jpg
50;Computador Intel Core i5 Com Hdmi 8GB HD 500GB Wifi Desktop Pc;R$ 1.099,00;https://m.media-amazon.com/images/I/519CpLs066L._AC_UL320_.jpg
51;Caixa de Som Mini Stage Solo Bluetooth 5.3 Speaker com Som Estéreo e HiFi, 3 Modos de Luz RGB e Conexões, Alimentado por USB Plug & Play para Computador, Desktop, Laptop, Projector, PS4, PS5 Portáteis;R$ 279,00;https://m.media-amazon.com/images/I/71Eh2UZRV-L._AC_UL320_.jpg
52;Computador Completo Core i5 8GB SSD 128GB Pc Intel Monitor Teclado e Mouse Cpu Desktop Strong Tech;R$ 1.496,00;https://m.media-amazon.com/images/I/61QkUW+g7xL._AC_UL320_.jpg
53;PC Gamer ITX Arena, Core i5 10400F, NVidia GeForce RTX 3050 8GB, Ram 16GB, SSD 240GB, Gabinete Gamer;R$ 5.199,00;https://m.media-amazon.com/images/I/616OaG9Fh6L._AC_UL320_.jpg
54;Mini Desktop PC Qcta-Core i9 9880H, Windows 11 Mini Computador, 16GB DDR4 RAM 512GB NVME SSD, UHD Gráficos 630,HDMI,DP,USB3.0,Gigabit RJ45 LAN,WiFi AC,Bluetooth,LIGAÇÃO AUTOMÁTICA,19V Low Consumo de PC;R$ 2.975,00;https://m.media-amazon.com/images/I/51WVx-9UuKL._AC_UL320_.jpg
55;COMPUTADOR GAMER CORE I5 9400F 2.9GHZ (Turbo 4.1GHz) MEM. 8GB DDR4 SSD 160GB HD 1TB FONTE 600W 80 PLUS - SEM VÍDEO (NECESSÁRIO ESCOLHER A PLACA DE VÍDEO DE SUA PREFERÊNCIA) - SKUL;R$ 2.635,16;https://m.media-amazon.com/images/I/61ypSkA1NHL._AC_UL320_.jpg
56;Computador Completo Intel Core i5 8GB HD 2TB Monitor 19.5" LED HDMI Áudio 5.1 canais Quantum Star;R$ 1.831,71;https://m.media-amazon.com/images/I/51nBooqCQLL._AC_UL320_.jpg
57;Computador Completo Intel Core i7 8GB SSD 512GB Monitor 19" Hdmi Teclado e Mouse Strong Tech;R$ 2.090,00;https://m.media-amazon.com/images/I/71rPtgDvd3L._AC_UL320_.jpg
58;Computador Mancer Home Office (AMD RYZEN 5 4650G, 16GB DDR4, HD 1TB, SSD 120GB, 500W, Stryker);R$ 2.683,90;https://m.media-amazon.com/images/I/51VzVlf-XvL._AC_UL320_.jpg
59;Computador EasyPC Standard Intel Core i3 4GB DDR3 HD 500GB HDMI FullHD audio 5.1;R$ 906,88;https://m.media-amazon.com/images/I/41+H1IE9+ML._AC_UL320_.jpg
60;Computador Completo Intel Core i5 8GB HD 1TB Monitor HDMI 19.5" Áudio 5.1 canais PC CPU Windows 10 Quantum Slim Flex;R$ 2.031,49;https://m.media-amazon.com/images/I/51ruvWk188L._AC_UL320_.jpg
61;Computador Pc Cpu Intel Core i5 Com HDMI 16GB HD SSD 240GB Windows 10 + Wifi Desktop AMAZOM;Null;https://m.media-amazon.com/images/I/51LtJlwPChL._AC_UL320_.jpg
62;Beelink Mini PC GK35 Windows 10 Pro Intel N3350, SSD 4G DDR3/64G compatível com alimentação automática, WOL, 4K HD, BT4.0, portas HDMI duplas, 2.4G/5G Dual WiFi, Gigabit Ethernet, Mini computador desktop para escritório;R$ 840,80;https://m.media-amazon.com/images/I/61m5fEutPfL._AC_UL320_.jpg
63;Computador Pc Intel Core i5 8GB SSD 480GB Hdmi Teclado e Mouse Cpu Desktop;R$ 1.451,00;https://m.media-amazon.com/images/I/51DR+PlgiKL._AC_UL320_.jpg
64;Computador Completo PC CPU Monitor 19.5" HDMI Intel Core i3 6GB HD 500GB com teclado e mouse Desktop Wifi CorPC, PRETO, 18880;Null;https://m.media-amazon.com/images/I/612L4H-VcVL._AC_UL320_.jpg
65;Computador Completo Intel Core i5 8GB HD 1TB Monitor HDMI 19.5" Áudio 5.1 canais PC CPU Windows 10 Quantum Flex, Preto;R$ 1.997,59;https://m.media-amazon.com/images/I/510kWmK78vL._AC_UL320_.jpg
66;Cpu Intel Core I5 4gb Ssd 120.promoção;R$ 819,00;https://m.media-amazon.com/images/I/41qaTIoeutL._AC_UL320_.jpg
67;3Green Computador Gamer Intel Core i5 10GB HD 500GB Nvidia Geforce GT EasyPC Light 2, Preto;R$ 1.430,00;https://m.media-amazon.com/images/I/51Kk4Vm+J7S._AC_UL320_.jpg
68;Microfone USB, microfone para computador PC JOUNIVO com botão mudo para streaming, podcasts, gravação vocal; microfone para jogos para laptop, Mac ou Windows;R$ 89,00;https://m.media-amazon.com/images/I/51KYOFKC80L._AC_UL320_.jpg
69;Microfone de conferência USB, com 3 portas USB 2.0 Hub; Microfone de computador omnidirecional de 360° com botão mudo para reuniões de zoom, gravação, Skype, classe online (JV805);R$ 129,00;https://m.media-amazon.com/images/I/51G8rxED1aL._AC_UL320_.jpg
70;Microfone de conferência USB para computador, JOUNIVO JV808 PC Desktop Laptop Omnidirecional Plug & Play com botão Touch Mute Compatível com Windows MacOS para reuniões, Skype, Zoom Call, Classe online;R$ 109,00;https://m.media-amazon.com/images/I/61Phg4AmN5L._AC_UL320_.jpg
71;Mochila leve para laptop, mochila de negócios, bolsa de nylon para computador e escola universitária, mochila com porta de carregamento USB;R$ 134,18;https://m.media-amazon.com/images/I/61fI4L9c9BL._AC_UL320_.jpg
72;PC Gamer ITX Arena Setup, AMD Athlon 3000G, Radeon Vega 3, 16GB Ram, SSD 240GB, Gabinete Gamer;R$ 2.099,00;https://m.media-amazon.com/images/I/51fDSee7QwL._AC_UL320_.jpg
73;PC Completo Intel Core i5, 8GB Ram, HD SSD 120GB, Monitor 18,5" LED, Teclado, Mouse e Wi-fi - MEGA -;R$ 2.820,00;https://m.media-amazon.com/images/I/614dTuQ4HSL._AC_UL320_.jpg
74;Pc Intel Core i7 3º 8gb Hd 1TB Wi-fi;R$ 1.878,09;https://m.media-amazon.com/images/I/41NUfDif1RL._AC_UL320_.jpg
75;Computador Completo Intel Core i5 8GB HD 500GB Monitor 19" Hdmi Teclado e Mouse Strong Tech;R$ 1.597,00;https://m.media-amazon.com/images/I/71UcLaLmt3L._AC_UL320_.jpg
76;Capa de mouse EVA estável durável, bolsa de armazenamento prático portátil de alta qualidade para computador G900;Null;https://m.media-amazon.com/images/I/61pK7czFq6L._AC_UL320_.jpg
77;PC GAMER AMD RYZEN 7 5800X / MEMORIA 32GB DDR4 / SSD 480 / RTX 3060 12GB / GABINETE GAMER;R$ 20.000,00;https://m.media-amazon.com/images/I/51r-L3jnLmL._AC_UL320_.jpg
78;Computador Desktop Completo com Monitor LED HDMI Intel Core i5 8GB HD 500GB com caixas de som mouse e teclado CorPC Standard Plus, Easypc, Preto, Média, 25061;R$ 1.700,00;https://m.media-amazon.com/images/I/61NHJX-cM7L._AC_UL320_.jpg
79;Computador Pc Intel Core i3 4GB HD 500GB Hdmi Cpu Desktop;R$ 899,00;https://m.media-amazon.com/images/I/61e-0XL9w4L._AC_UL320_.jpg
80;Computador Completo Pc Cpu Monitor 19” Intel Core i3 Hdmi 8GB HD 500GB com Teclado e Mouse Desktop;R$ 1.435,12;https://m.media-amazon.com/images/I/61uTQNrmu5L._AC_UL320_.jpg
81;Computador Completo Intel Core i5 8GB SSD 256GB Monitor 17" Hdmi Teclado e Mouse Strong Tech;R$ 1.587,00;https://m.media-amazon.com/images/I/71T6At1q10L._AC_UL320_.jpg
82;Stick de memória, unidade flash de longa vida útil à prova d'água para alto-falantes de TVs de computadores e laptops(#4);R$ 102,56;https://m.media-amazon.com/images/I/61JzGehC7oL._AC_UL320_.jpg
83;Computador Completo Pc Cpu Monitor 19” Intel Core i3 Hdmi 4GB SSD 120GB com Teclado e Mouse Desktop;R$ 1.458,00;https://m.media-amazon.com/images/I/71t95QxjhYL._AC_UL320_.jpg
84;Computador Intel Core i5 8GB SSD 480GB EasyPC Go;R$ 1.409,70;https://m.media-amazon.com/images/I/61abx6RBvZS._AC_UL320_.jpg
85;PC GAMER MANCER AMD RYZEN 5 4600G, 16GB DDR4, SSD 240GB;R$ 2.658,90;https://m.media-amazon.com/images/I/61FPw-FlbuL._AC_UL320_.jpg
86;Computador Completo Intel Core i7 8GB SSD 120GB Monitor 19" Hdmi Teclado e Mouse Strong Tech;R$ 1.899,00;https://m.media-amazon.com/images/I/71--PGkRSML._AC_UL320_.jpg
87;COMPUTADOR HOME H100 - CELERON DUAL CORE J1800 2.41GHZ MEM 4GB DDR3 SODIMM SEM HD/SSD HDMI/VGA FONTE 200W - SKUL;R$ 836,87;https://m.media-amazon.com/images/I/71Zb+oN3psL._AC_UL320_.jpg
88;Computador Completo Intel Core i5 4GB SSD 128GB Monitor 19" Hdmi Teclado e Mouse Strong Tech;R$ 1.599,00;https://m.media-amazon.com/images/I/71fIqxOWJwL._AC_UL320_.jpg
89;Computador Completo Intel Dual Core 4GB HD 500GB Monitor 19.5" HDMI Full HD Áudio 5.1 canais Skill DC;R$ 1.999,94;https://m.media-amazon.com/images/I/71S4Bj5PDGL._AC_UL320_.jpg
90;Computador Desktop Completo Quantum Intel Core i3 6GB HD 500GB Monitor 19.5" HDMI LED com mouse e teclado, PRETO, Média, 29230;R$ 1.402,49;https://m.media-amazon.com/images/I/514LJSiNUeL._AC_UL320_.jpg
91;Computador Intel® Core™ i3-2100 3.1GHz 8GB SSD 128GB | Goldentec;R$ 1.170,00;https://m.media-amazon.com/images/I/51KdyCjHThL._AC_UL320_.jpg
92;Computador Pc Intel Core i7 8GB SSD 512GB Hdmi Teclado e Mouse Cpu Desktop;R$ 1.750,00;https://m.media-amazon.com/images/I/51DR+PlgiKL._AC_UL320_.jpg
93;Easypc Computador Gamer Completo com Monitor LED Intel Core i5 8GB HD 500GB (Nvidia Geforce GT) Kit gamer com mousepad Light, Preto, 24865;R$ 4.580,50;https://m.media-amazon.com/images/I/61OG-dB4osL._AC_UL320_.jpg
94;Computador Completo Intel Core i3 4GB SSD 128GB Monitor 17" Hdmi Teclado e Mouse Strong Tech;R$ 1.445,00;https://m.media-amazon.com/images/I/71Fpn3eLFFL._AC_UL320_.jpg
95;PAC-MAN e as Aventuras Fantasmagóricas;Null;https://m.media-amazon.com/images/I/71yq+ZZVGPL._AC_UL320_.jpg
96;Computador Completo Pc Cpu Monitor 19" Intel Core i3 Turbo 4GB HD 500GB Hdmi Teclado e Mouse Desktop;R$ 1.445,00;https://m.media-amazon.com/images/I/71RMwVqLN7L._AC_UL320_.jpg
97;Computador Goldentec F-GCL com Intel® Core™ i3-2100 3.1GHz 8GB SSD 120GB;R$ 1.350,00;https://m.media-amazon.com/images/I/51G1nE5m2WS._AC_UL320_.jpg
98;Computador Intel Core i5 Com Hdmi 8GB HD 1TB Windows 10 Teclado Mouse Desktop Pc;R$ 1.060,00;https://m.media-amazon.com/images/I/61l2D5a90-L._AC_UL320_.jpg
99;Computador Mancer Home Office (AMD RYZEN 5 4650G, 16GB DDR4, SSD 120GB, 500W, Stryker);R$ 2.426,90;https://m.media-amazon.com/images/I/51aG0LuvMZL._AC_UL320_.jpg
100;CPU HOME OFFICE CORE I5, 16GB, SSD 240GB, GABINETE COM FONTE;R$ 1.079,00;https://m.media-amazon.com/images/I/419c3-h3EaL._AC_UL320_.jpg
101;Computador Completo Intel Core i5 Memória RAM 8Gb SSD 240GB;R$ 2.849,00;https://m.media-amazon.com/images/I/511ZJ1sBH2L._AC_UL320_.jpg
102;Cpu I3 4gb SSD 240gb *20X MAIS RÁPIDO*;R$ 900,00;https://m.media-amazon.com/images/I/41Us-KCnFkL._AC_UL320_.jpg
103;Computador Pc Intel Core i7 8GB SSD 256GB Hdmi Teclado e Mouse Cpu Desktop;R$ 1.439,00;https://m.media-amazon.com/images/I/51DR+PlgiKL._AC_UL320_.jpg
104;TECLADO PARA COMPUTADOR KG-300 KINGO;R$ 48,00;https://m.media-amazon.com/images/I/31HbRnPfIFS._AC_UL320_.jpg
105;Kit de limpeza de fone de ouvido de teclado de tela de laptop para Airpods Pro MacBook iPad iPhone iPod, wal rfid Caneta de limpeza multifuncional Airpod Escova ferramenta removedor de chave para monitor de PC, TV, telefone, computador, fone de ouvido (Rosa);R$ 107,99;https://m.media-amazon.com/images/I/51dLJ6UoZnL._AC_UL320_.jpg
106;CHIWEI FreeBook 13.5'', Notebook e tablet computador portátil RAM 12GB 512GB SSD, Ultra Slim Tela cheia ao toque, WiFi, BT4.2, Windows 11;R$ 3.199,00;https://m.media-amazon.com/images/I/51UWFi0021L._AC_UL320_.jpg
107;1PCS 6177R-M4AXP Series B Computer New No Box;R$ 8.144,48;https://m.media-amazon.com/images/I/51kf9AY0gsL._AC_UL320_.jpg
108;Computador Completo Intel Core i5 4GB HD 1TB Monitor 19" Hdmi Teclado e Mouse Strong Tech;R$ 1.799,00;https://m.media-amazon.com/images/I/71Vhw30WWtL._AC_UL320_.jpg
109;PC Intel Core i5 4ª Geração, 4GB RAM DDR3, HD SSD 480GB;R$ 2.250,00;https://m.media-amazon.com/images/I/61E7vT0W88L._AC_UL320_.jpg
110;Computador E3 Nano Intel Dual Core J1800, 4GB, SSD 120GB, 46NEMPC0B8NF - Elgin;R$ 1.159,00;https://m.media-amazon.com/images/I/514SP0z48sL._AC_UL320_.jpg
111;Computador Completo Intel Core i5 4GB HD 500GB Monitor 19" Hdmi Teclado e Mouse Strong Tech;R$ 1.579,00;https://m.media-amazon.com/images/I/71cY0AZRsTL._AC_UL320_.jpg
112;PAC-MAN e as Aventuras Fantasmagóricas;Null;https://m.media-amazon.com/images/I/71yq+ZZVGPL._AC_UL320_.jpg
113;Computador Completo Intel Core i5 8GB SSD 240GB Monitor 19" Webcam Hdmi Teclado e Mouse Strong Tech;R$ 1.620,00;https://m.media-amazon.com/images/I/71igKIrj-uL._AC_UL320_.jpg
114;Computador Completo Intel Core i3 6GB SSD 120GB Monitor Hdmi Teclado e Mouse Strong Tech;R$ 1.460,00;https://m.media-amazon.com/images/I/71vcXU8IThL._AC_UL320_.jpg
115;COMPUTADOR CORE I7, 8GB, SSD 480GB, GABINETE ATX, FONTE ATX, HERTZ INFORMATICA;R$ 1.549,00;https://m.media-amazon.com/images/I/41-c3JqqJrL._AC_UL320_.jpg
116;Computador Completo Core i5 4° Geração 8gb Hd 500gb + Monitor 18.5 + Wi-fi;R$ 2.699,00;https://m.media-amazon.com/images/I/51qAaRMeHDL._AC_UL320_.jpg
117;COMPUTADOR BUSINESS B700 - I7 8700 3.2GHZ 8GB DDR4 SSD 240GB HDMI/VGA FONTE 500W - SKUL;R$ 5.611,45;https://m.media-amazon.com/images/I/61d-BJymhJL._AC_UL320_.jpg
118;COMPUTADOR GAMER 1000 - ATHLON 3000G 3.5GHZ MEM. 8GB DDR4 SSD 240GB RX 550 4GB FONTE 500W - SKUL;R$ 3.712,42;https://m.media-amazon.com/images/I/6139pRaplzL._AC_UL320_.jpg
119;Unidade flash, stick de memória portátil portátil em formato de coração retro para computador, carro, alto-falante BT, TV(#8);R$ 98,57;https://m.media-amazon.com/images/I/61jIBaPEsfL._AC_UL320_.jpg
120;Computador Mancer Home Office (AMD RYZEN 5 4650G, 16GB DDR4, SSD 240GB, 500W, Stryker);R$ 2.464,90;https://m.media-amazon.com/images/I/61+R9wOF1oL._AC_UL320_.jpg
121;Computador Completo Intel Core i5 8GB HD 500GB Monitor 19" Hdmi Teclado e Mouse Strong Tech Slim;R$ 1.790,00;https://m.media-amazon.com/images/I/610-0qoIgVL._AC_UL320_.jpg
122;Computador Intel Core i5 3.2Ghz Com Hdmi 8GB HD 500GB Windows 10 Wifi Desktop Pc;R$ 1.558,48;https://m.media-amazon.com/images/I/519CpLs066L._AC_UL320_.jpg
123;Computador Completo Intel Core i3 8gb SSD 120GB Monitor Hdmi;R$ 1.800,00;https://m.media-amazon.com/images/I/615pnis-N5L._AC_UL320_.jpg
124;COMPUTADOR BUSINESS B300 - I3 4130 3.4GHZ 4GB DDR3 SSD 120GB HDMI/VGA FONTE 200W WINDOWS 10 PRO - SKUL;R$ 1.227,32;https://m.media-amazon.com/images/I/71Nt+1nFsdL._AC_UL320_.jpg
125;Computador Pc Intel Core i5 Com Hdmi Dvd 8GB SSD 120GB Windows 10 Wifi Desktop Cpu;R$ 1.179,00;https://m.media-amazon.com/images/I/519CpLs066L._AC_UL320_.jpg
126;Computador i5, 8gb, SSD 240 com Gabinete RGB;R$ 1.499,99;https://m.media-amazon.com/images/I/513on8L38mL._AC_UL320_.jpg
127;PC GAMER JOGOS CORE I5, 8GB, SSD 240GB, PLACA DE VIDEO 2GB;R$ 2.627,84;https://m.media-amazon.com/images/I/41h1kz2Ep3L._AC_UL320_.jpg
